Product ID,Active (0/1),Name *,Categories (x,y,z...),Price tax excluded,Tax rules ID,Wholesale price,On sale (0/1),Discount amount,Discount percent,Discount from (yyyy-mm-dd),Discount to (yyyy-mm-dd),Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,UPC,Ecotax,Width,Height,Depth,Weight,Delivery time of in-stock products,Delivery time of out-of-stock products with allowed orders,Quantity,Minimal quantity,Low stock level,Send me an email when the quantity is under this level,Visibility,Additional shipping cost,Unity,Unit price,Summary,Description,Tags (x,y,z...),Meta title,Meta keywords,Meta description,URL rewritten,Text when in stock,Text when backorder allowed,Available for order (0 = No,1 = Yes),Product available date,Product creation date,Show price (0 = No,1 = Yes),Image URLs (x,y,z...),Image alt texts (x,y,z...),Delete existing images (0 = No,1 = Yes),Feature(Name:Value:Position),Available online only (0 = No,1 = Yes),Condition,Customizable (0 = No,1 = Yes),Uploadable files (0 = No,1 = Yes),Text fields (0 = No,1 = Yes),Out of stock action,Virtual product,File URL,Number of allowed downloads,Expiration date,Number of days,ID / Name of shop,Advanced stock management,Depends On Stock,Warehouse,Acessories  (x,y,z...)

,,NOM,Catégorie,,,"PVP HT",,,,,,,,SKU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4MP 5x Smart Dual Light WizSense Network PTZ Camera","Caméra PTZ, Caméra",,,2160.00,,,,,,,,SD3C405DB-GNY-A-PV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5MP IR Vari-focal Dome WizSense Network Camera","Caméras IP, caméra",,,1950.00,,,,,,,,IPC-HDBW2541RP-ZS-27135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Caméra Bullet Réseau IR Lite Varifocale 8 mégapixels","Caméras IP, caméra",,,2520.00,,,,,,,,IPC-HFW2841TP-ZAS-27135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Caméra Dome Réseau IR Lite Varifocale 8 mégapixels","Caméras IP, caméra",,,2340.00,,,,,,,,IPC-HDBW2841RP-ZS-27135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,," 4 Channel 1080N/720p Cooper 1U 1HDD WizSense ","XVR, Vidéosurveillance",,,1057.50,,,,,,,,XVR1B16-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"8CH Penta-brid 4K Value/5MP Compact 1U 1HDD WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,1867.50,,,,,,,,XVR5108HS-4KL-I3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"16 Channel 5M-N/1080P Compact 1U WizSense","XVR, Vidéosurveillance",,,1935.00,,,,,,,,XVR5116HS-I3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2MP Entry IR Vari-focal Dome Netwok Camera","Caméras IP, caméra",,,1080.00,,,,,,,,IPC-HDBW1230RP-ZS-2812-S5-QH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4CH Penta-brid 4K Value/5MP Compact 1U 1HDD WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,1132.50,,,,,,,,XVR5104HS-4KL-I3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"16CH Penta-brid 4K Value/5MP Mini 1U 1HDD WizSense Digital Video Recorder","XVR, Vidéosurveillance",,,3150.00,,,,,,,,XVR5116H-4KL-I3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4MP Entry Full-color Fixed-focal Bullet Network Camera","Caméras IP, caméra",,,780.00,,,,,,,,IPC-HFW1439S1P-LED-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Water-proof Junction Box","Boîte de jonction, Accessoire Vidéosurveillance",,,135.00,,,,,,,,PFA130-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4K Starlight HDCVI Fixed IR Bullet Camera","Caméra analogique, Caméra ",,,558.00,,,,,,,,HAC-HFW1801TP-A-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4K Smart Dual Illuminators HDCVI Fixed-focal Eyeball Camera","Caméra analogique, Caméra ",,,657.00,,,,,,,,HAC-HDW1801TP-IL-A-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2MP Entry IR Vari-focal Bullet Netwok Camera","Caméras IP, caméra",,,1050.00,,,,,,,,IPC-HFW1230T1P-ZS-2812-S5-QH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2MP Full-color HDCVI Quick-to-install Eyeball Camera","Caméra analogique, Caméra ",,,262.50,,,,,,,,HAC-HDW1209TLQP-LED-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4MP Entry IR Vari-focal Dome Network Camera","Caméras IP, caméra",,,1350.00,,,,,,,,IPC-HDBW1431RP-ZS-2812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4 MP Entry Full-color Fixed-focal Eyeball Network Camera","Caméras IP, caméra",,,780.00,,,,,,,,IPC-HDW1439T1P-LED-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"6MP Entry Smart Dual Light Fixed-focal Bullet Network Camera","Caméras IP, caméra",,,900.00,,,,,,,,IPC-HFW1639TCP-A-IL-0280B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
