REF,Photo,1,Code,REFERENCE VISULS BIS,Nom article,Désignation,Matières,Durée de garantie,poids brut des colis (kg),EAN AVEC LES PACK,PRIX VENTE PUBLIC CONSEILLE(€ - TTC) eshop,ean colis 1,ean colis2,ean colis 3,Dimension Matelas  ,NB RESSORTS,INDICE DE FERMETE,descriptif produit,Nbre de colis,Poids net du produit (kg),poids brut des colis (kg),Dimension du produit en cm,Dimension des colis,Longueur Colis 1,Largeur colis 1,Hauteur colis 1,Longueur Colis 2,Largeur colis 2,Hauteur colis 2,Longueur Colis 3,Largeur colis 3,Hauteur colis 3,Poids colis 1,Poids colis 2,Poids colis 3,QUANTITES EN STOCK,PRIX VENTE PUBLIC CONSEILLE(€ - TTC) eshop,ecopart non incluse,prix avec ecopart,coût transport drop HT,Code
2705,,,Ensemble Villandry (2X90) 180 X 200,Matelas   compressé roulé,Le Villandry,ENSEMBLE,,5,68,," 2,437.00 € ",3760260155581,3760260150128,3760260150128,(2X90)180 X 200,1080,4/5,double Sommier + Matelas  ,3,67,68,"180*200*
24 /
2*(90*200
*15)",185**35*35 /95*205*20/   95*205*20,185,35,35,200,90,15,200,90,15,26,17.5,17.5,6," 2,297.00 € ",21.16,#REF!,69.90,Ensemble Villandry (2X90) 180 X 200
2706,,,Ensemble Villandry (2X100) X 200,Matelas   compressé roulé,Le Villandry,ENSEMBLE,,5,73,," 2,178.00 € ",3760260155574,3760260150111,3760260150111,(2X100) X 200,1200,4/5,double Sommier + Matelas  ,3,72,73,"200*200*
24 /
2*(100*20
0*15)",205**35*35/ 105*205*20/  105*205*20,205,35,35,200,100,15,200,100,15,27,19.5,19.5,6," 2,488.00 € ",21.16,#REF!,69.90,Ensemble Villandry (2X100) X 200
2160,,,Matelas  Chambourcy 80 X 200,Matelas   compressé roulé,Chambourcy,Matelas  ,,5,,, 729.00 € ,3760260155567,,,80 X 200,PAS DE RESSORTS,4/5,,1,,,"80*200*2
6","85*35*35
",85,35,35,,,,,,,13,,,, 729.00 € ,4.57,#REF!,29.90,Matelas  Chambourcy 80 X 200
2161,,,Matelas  Chambourcy 90 X 190,Matelas   compressé roulé,Chambourcy,Matelas  ,,5,,, 779.00 € ,3760260155550,,,90 X 190,PAS DE RESSORTS,4/5,,1,,,"90*190*2
6",95*35*35,95,35,35,,,,,,,15,,,, 779.00 € ,4.57,#REF!,29.90,Matelas  Chambourcy 90 X 190
2162,,,Matelas  Chambourcy 90 X 200,Matelas   compressé roulé,Chambourcy,Matelas  ,,5,,, 819.00 € ,3760260155543,,,90 X 200,PAS DE RESSORTS,4/5,,1,,,"90*200*2
6",95*35*35,95,35,35,,,,,,,15,,,, 819.00 € ,4.57,#REF!,29.90,Matelas  Chambourcy 90 X 200
2163,,,Matelas  Chambourcy 140 X 190,Matelas   compressé roulé,Chambourcy,Matelas  ,,5,,," 1,199.00 € ",3760260155536,,,140 X 190,PAS DE RESSORTS,4/5,,1,,,"140*190*
24",145*35*35,145,35,35,,,,,,,21,,,," 1,199.00 € ",9.17,#REF!,33.25,Matelas  Chambourcy 140 X 190
2164,,,Matelas  Chambourcy 140 X 200,Matelas   compressé roulé,Chambourcy,Matelas  ,,5,,," 1,249.00 € ",3760260155529,,,140 X 200,PAS DE RESSORTS,4/5,,1,,,"140*200*
24",145*35*35,145,35,35,,,,,,,21,,,," 1,249.00 € ",9.17,#REF!,33.25,Matelas  Chambourcy 140 X 200
2165,,,Matelas  Chambourcy 160 X 200,Matelas   compressé roulé,Chambourcy,Matelas  ,,5,,," 1,449.00 € ",3760260155512,,,160X 200,PAS DE RESSORTS,4/5,,1,,,"160*200*
24",165*35*35,165,35,35,,,,,,,23,,,," 1,449.00 € ",12.50,#REF!,33.25,Matelas  Chambourcy 160 X 200
2166,,,Matelas  Chambourcy 180 X 200,Matelas   compressé roulé,Chambourcy,Matelas  ,,5,,," 1,629.00 € ",3760260155505,,,180X 200,PAS DE RESSORTS,4/5,,1,,,"180*200*
24",185*35*35,185,35,35,,,,,,,26,,,," 1,629.00 € ",12.50,#REF!,33.25,Matelas  Chambourcy 180 X 200
2167,,,Matelas  Chambourcy 200 X 200,Matelas   compressé roulé,Chambourcy,Matelas  ,,5,,," 1,819.00 € ",3760260155499,,,200X 200,PAS DE RESSORTS,4/5,,1,,,"200*200*
24",205*35*35,205,35,35,,,,,,,28,,,," 1,819.00 € ",12.50,#REF!,33.25,Matelas  Chambourcy 200 X 200
2168,,,Ensemble Chambourcy 80 X 200,Matelas   compressé roulé,Chambourcy,ENSEMBLE,,5,,," 1,118.00 € ",3760260155567," 3,760,260,151,934    ",,80 X 200,PAS DE RESSORTS,4/5,,2,,,"80*200*2
6 /
80*200*1
5",85**35*35/ 85*200*20,85,35,35,200,80,15,,,,13,20,,," 1,118.00 € ",8.40,#REF!,59.90,Ensemble Chambourcy 80 X 200
2169,,,Ensemble Chambourcy 90 X 190,Matelas   compressé roulé,Chambourcy,ENSEMBLE,,5,,," 1,178.00 € ",3760260155550," 3,760,260,151,941    ",,90 X 190,PAS DE RESSORTS,4/5,,2,,,"90*190*2
6 /
90*190*1
5",95*35*35 95*195*20,95,35,35,190,90,15,,,,15,21,,," 1,178.00 € ",8.40,#REF!,59.90,Ensemble Chambourcy 90 X 190
2170,,,Ensemble Chambourcy 90 X 200,Matelas   compressé roulé,Chambourcy,ENSEMBLE,,5,,," 1,238.00 € ",3760260155543," 3,760,260,151,958    ",,90 X 200,PAS DE RESSORTS,4/5,,2,,,"90*200*2
6 /
90*200*1
5",95*35*35 95*205*20,95,35,35,200,90,15,,,,15,22,,," 1,238.00 € ",8.40,#REF!,59.90,Ensemble Chambourcy 90 X 200
2171,,,Ensemble Chambourcy 140 X 190,Matelas   compressé roulé,Chambourcy,ENSEMBLE,,5,,," 1,748.00 € ",3760260155536," 3,760,260,151,965    ",,140 X 190,PAS DE RESSORTS,4/5,,2,,,"140*190*
24 /
140*190*
15",145*35*35 145*195*20,145,35,35,190,140,15,,,,21,27,,," 1,748.00 € ",15.08,#REF!,69.90,Ensemble Chambourcy 140 X 190
2172,,,Ensemble Chambourcy 140 X 200,Matelas   compressé roulé,Chambourcy,ENSEMBLE,,5,,," 1,818.00 € ",3760260155529," 3,760,260,151,972    ",,140 X 200,PAS DE RESSORTS,4/5,,2,,,"140*200*
24/
140*200*
15",145*35*35 /145*205*20,145,35,35,200,140,15,,,,21,28,,," 1,838.00 € ",15.08,#REF!,69.90,Ensemble Chambourcy 140 X 200
2173,,,Ensemble Chambourcy 160 X 200,Matelas   compressé roulé,Chambourcy,ENSEMBLE,,5,,," 2,098.00 € ",3760260155512," 3,760,260,151,989    ",,160X 200,PAS DE RESSORTS,4/5,,2,,,"160*200*
24/
160*200*
15",165**35*35 /165*205*20,165,35,35,200,160,15,,,,23,31,,," 2,098.00 € ",20.08,#REF!,69.90,Ensemble Chambourcy 160 X 200
2174,,,Ensemble Chambourcy (2x80) X 200,Matelas   compressé roulé,Chambourcy,ENSEMBLE,,5,,," 2,227.00 € ",3760260155512," 3,760,260,151,934    "," 3,760,260,151,934    ",(2x80)X 200,PAS DE RESSORTS,4/5,,3,,,"160*200*
24/
2*(80*200
*15)",165*35*35 /85*205*20/   85*205*20,165,35,35,200,80,15,200,80,15,23,16,16,," 2,227.00 € ",21.16,#REF!,69.90,Ensemble Chambourcy (2x80) X 200
2175,,,Ensemble Chambourcy (2X90) 180 X 200,Matelas   compressé roulé,Chambourcy,ENSEMBLE,,5,,," 2,467.00 € ",3760260155505," 3,760,260,151,958    "," 3,760,260,151,958    ",(2X90)180 X 200,PAS DE RESSORTS,4/5,,3,,,"180*200*
24 /
2*(90*200
*15)",185**35*35 /95*205*20/   95*205*20,185,35,35,200,90,15,200,90,15,26,17.5,17.5,," 2,467.00 € ",21.16,#REF!,69.90,Ensemble Chambourcy (2X90) 180 X 200
2176,,,Ensemble Chambourcy (2X100) X 200,Matelas   compressé roulé,Chambourcy,ENSEMBLE,,5,,," 2,708.00 € ",3760260155499," 3,760,260,152,016    "," 3,760,260,152,016    ",(2X100) X 200,PAS DE RESSORTS,4/5,,3,,,"200*200*
24 /
2*(100*20
0*15)",205**35*35/ 105*205*20/  105*205*20,205,35,35,200,100,15,200,100,15,28,19.5,19.5,," 2,708.00 € ",21.16,#REF!,69.90,Ensemble Chambourcy (2X100) X 200
2124,,,Matelas   Versailles 80 X 200,Matelas   compressé roulé,Le Versailles,Matelas  ,,5,14,," 1,059.00 € ",3760260155482,,,80 X 200,378,4/5,Matelas   630 ressorts ensaches+ 4CM Ht 26 cm RESSORTS ENSACHES+ 4 CM MEMORY,1,13,14,"80*200*2
5","85*205*3
0",85,35,35,,,,,,,13,,,6," 1,059.00 € ",4.57,#REF!,29.90,Matelas   Versailles 80 X 200
2127,,,Matelas   Versailles 90 X 190,Matelas   compressé roulé,Le Versailles,Matelas  ,,5,16,," 1,129.00 € ",3760260155475,,,90 X 190,409,4/5,Matelas   630 ressorts ensaches+ 4CM Ht 26 cm RESSORTS ENSACHES+ 4 CM MEMORY,1,15,16,"90*190*2
5","95*195*3
0",95,35,35,,,,,,,15,,,4," 1,129.00 € ",4.57,#REF!,29.90,Matelas   Versailles 90 X 190
2128,,,Matelas   Versailles 90 X 200,Matelas   compressé roulé,Le Versailles,Matelas  ,,5,16,," 1,189.00 € ",3760260155468,,,90 X 200,426,4/5,Matelas   630 ressorts ensaches+ 4CM Ht 26 cm RESSORTS ENSACHES+ 4 CM MEMORY,1,15,16,"90*200*2
5","95*205*3
0",95,35,35,,,,,,,15,,,4," 1,189.00 € ",4.57,#REF!,29.90,Matelas   Versailles 90 X 200
2129,,,Matelas   Versailles 140 X 190,Matelas   compressé roulé,Le Versailles,Matelas  ,,5,22,," 1,769.00 € ",3760260155451,,,140 X 190,630,4/5,Matelas   630 ressorts ensaches+ 4CM Ht 26 cm RESSORTS ENSACHES+ 4 CM MEMORY,1,21,22,"140*190*
26","145*195*
30",145,35,35,,,,,,,21,,,16," 1,769.00 € ",9.17,#REF!,33.25,Matelas   Versailles 140 X 190
2130,,,Matelas   Versailles 140 X 200,Matelas   compressé roulé,Le Versailles,Matelas  ,,5,22,," 1,859.00 € ",3760260155444,,,140 X 200,663,4/5,Matelas   630 ressorts ensaches+ 4CM Ht 26 cm RESSORTS ENSACHES+ 4 CM MEMORY,1,21,22,"140*200*
26","145*205*
30",145,35,35,,,,,,,21,,,4," 1,859.00 € ",9.17,#REF!,33.25,Matelas   Versailles 140 X 200
2131,,,Matelas   Versailles 160 X 200,Matelas   compressé roulé,Le Versailles,Matelas  ,,5,24,," 2,129.00 € ",3760260155437,,,160X 200,757,4/5,Matelas   630 ressorts ensaches+ 4CM Ht 26 cm RESSORTS ENSACHES+ 4 CM MEMORY,1,23,24,"160*200*
26","165*205*
30",165,35,35,,,,,,,23,,,15," 2,129.00 € ",12.50,#REF!,33.25,Matelas   Versailles 160 X 200
2132,,,Matelas   Versailles 180 X 200,Matelas   compressé roulé,Le Versailles,Matelas  ,,5,24,," 2,389.00 € ",3760260155420,,,180 X 200,850,4/5,Matelas   630 ressorts ensaches+ 4CM Ht 26 cm RESSORTS ENSACHES+ 4 CM MEMORY,1,26,24,"180*200*
26","185*205*
30",185,35,35,,,,,,,26,,,4," 2,389.00 € ",12.50,#REF!,33.25,Matelas   Versailles 180 X 200
2133,,,Matelas   Versailles 200 X 200,Matelas   compressé roulé,Le Versailles,Matelas  ,,5,29,," 2,459.00 € ",3760260155413,,,200 X 200,945,4/5,Matelas   630 ressorts ensaches+ 4CM Ht 26 cm RESSORTS ENSACHES+ 4 CM MEMORY,1,28,29,"200*200*
26","205*205*
30",205,35,35,,,,,,,28,,,4," 2,459.00 € ",12.50,#REF!,33.25,Matelas   Versailles 200 X 200
2134,,,Ensemble Versailles 80 X 200,Matelas   compressé roulé,Le Versailles,ENSEMBLE,,5,34,," 1,448.00 € ",3760260155482,3760260150142,,80 X 200,343,4/5,Sommier + Matelas  ,2,33,34,"80*200*2
6 /
80*200*1
5","85*205*3
0/85*205
*17",85,35,35,200,80,15,,,,13,20,,4," 1,448.00 € ",8.40,#REF!,59.90,Ensemble Versailles 80 X 200
